EmployeeNumber,Department,JobRole,JobLevel,JobInvolvement,JobSatisfaction,OverTime,BusinessTravel,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance
1,Sales,"Sales Executive",2,3,4,Yes,Travel_Rarely,2,1,1
2,"Research & Development","Research Scientist",2,2,2,No,Travel_Frequently,3,4,3
4,"Research & Development","Laboratory Technician",1,2,3,Yes,Travel_Rarely,4,2,3
5,"Research & Development","Research Scientist",1,3,3,Yes,Travel_Frequently,4,3,3
7,"Research & Development","Laboratory Technician",1,3,2,No,Travel_Rarely,1,4,3
8,"Research & Development","Laboratory Technician",1,3,4,No,Travel_Frequently,4,3,2
10,"Research & Development","Laboratory Technician",1,4,1,Yes,Travel_Rarely,3,1,2
11,"Research & Development","Laboratory Technician",1,3,3,No,Travel_Rarely,4,2,3
12,"Research & Development","Manufacturing Director",3,2,3,No,Travel_Frequently,4,2,3
13,"Research & Development","Healthcare Representative",2,3,3,No,Travel_Rarely,3,2,2
14,"Research & Development","Laboratory Technician",1,4,2,No,Travel_Rarely,1,3,3
15,"Research & Development","Laboratory Technician",2,2,3,Yes,Travel_Rarely,4,4,3
16,"Research & Development","Research Scientist",1,3,3,No,Travel_Rarely,1,4,2
18,"Research & Development","Laboratory Technician",1,3,4,No,Travel_Rarely,2,3,3
19,"Research & Development","Laboratory Technician",1,2,3,Yes,Travel_Rarely,3,2,3
20,"Research & Development","Manufacturing Director",3,4,1,No,Travel_Rarely,2,3,3
21,"Research & Development","Research Scientist",1,4,2,Yes,Travel_Rarely,1,4,2
22,"Research & Development","Laboratory Technician",1,4,4,Yes,Non-Travel,4,2,2
23,Sales,Manager,4,2,4,No,Travel_Rarely,1,3,3
24,"Research & Development","Research Scientist",1,3,4,Yes,Travel_Rarely,4,3,3
26,"Research & Development","Manufacturing Director",2,4,3,No,Non-Travel,1,4,2
27,Sales,"Sales Representative",1,2,1,No,Travel_Rarely,3,2,3
28,"Research & Development","Research Director",3,3,2,No,Travel_Rarely,1,3,3
30,"Research & Development","Research Scientist",1,3,4,No,Travel_Rarely,3,4,3
31,"Research & Development","Research Scientist",1,3,1,No,Travel_Rarely,2,3,3
32,"Research & Development",Manager,5,3,3,No,Travel_Rarely,3,4,2
33,"Research & Development","Research Scientist",1,1,1,Yes,Travel_Frequently,2,2,3
35,Sales,"Sales Executive",2,3,2,No,Travel_Rarely,3,4,3
36,"Research & Development","Healthcare Representative",3,2,4,No,Travel_Rarely,1,4,3
38,Sales,Manager,5,3,1,No,Travel_Rarely,2,4,2
39,"Research & Development","Laboratory Technician",1,3,4,No,Travel_Rarely,3,4,3
40,"Research & Development","Healthcare Representative",2,3,4,Yes,Travel_Rarely,4,4,4
41,"Research & Development","Laboratory Technician",1,2,3,No,Travel_Rarely,4,1,3
42,Sales,"Sales Representative",2,3,4,No,Travel_Rarely,4,3,4
45,"Research & Development","Research Scientist",1,3,4,Yes,Travel_Rarely,2,1,2
46,"Research & Development","Research Scientist",1,4,3,No,Travel_Rarely,4,4,2
47,Sales,"Sales Representative",1,2,3,Yes,Travel_Rarely,1,3,3
49,Sales,"Sales Representative",1,3,4,No,Travel_Rarely,4,1,3
51,"Research & Development","Research Scientist",1,2,1,Yes,Travel_Rarely,2,4,4
52,Sales,"Sales Executive",2,4,1,No,Travel_Frequently,3,1,3
53,"Research & Development","Laboratory Technician",1,3,4,No,Travel_Rarely,3,3,3
54,"Research & Development","Laboratory Technician",1,3,1,No,Travel_Rarely,4,4,3
55,"Research & Development","Laboratory Technician",1,1,3,No,Travel_Rarely,1,3,2
56,Sales,"Sales Executive",3,3,3,No,Travel_Frequently,4,4,3
57,"Research & Development","Laboratory Technician",2,3,4,No,Travel_Frequently,3,4,3
58,"Research & Development","Research Director",5,3,3,No,Travel_Rarely,2,4,3
60,Sales,"Sales Executive",2,3,3,No,Non-Travel,2,3,3
61,"Research & Development","Research Scientist",1,3,2,No,Travel_Rarely,2,1,3
62,Sales,"Sales Executive",2,3,4,Yes,Travel_Frequently,1,3,3
63,"Research & Development","Laboratory Technician",1,4,4,No,Travel_Rarely,4,4,3
64,"Research & Development","Laboratory Technician",3,2,3,Yes,Travel_Rarely,1,4,3
65,"Research & Development","Laboratory Technician",1,3,3,Yes,Travel_Rarely,3,3,2
68,Sales,"Sales Executive",2,3,1,Yes,Travel_Rarely,2,3,2
70,"Research & Development","Healthcare Representative",3,2,1,Yes,Non-Travel,3,3,3
72,Sales,"Sales Executive",2,2,4,Yes,Travel_Rarely,3,3,2
73,"Research & Development","Research Director",3,3,4,Yes,Travel_Frequently,1,3,3
74,Sales,"Sales Executive",3,3,1,No,Travel_Frequently,2,4,2
75,"Research & Development","Laboratory Technician",1,3,1,Yes,Travel_Rarely,3,3,3
76,"Research & Development","Laboratory Technician",2,3,4,No,Travel_Rarely,4,4,2
77,"Research & Development","Manufacturing Director",2,2,3,No,Travel_Rarely,1,3,4
78,"Research & Development","Manufacturing Director",2,3,4,Yes,Travel_Rarely,1,2,3
79,"Research & Development","Laboratory Technician",2,3,4,No,Travel_Frequently,4,4,3
80,"Research & Development","Research Director",5,2,3,Yes,Travel_Rarely,2,4,2
81,Sales,"Sales Executive",3,3,1,No,Travel_Rarely,1,4,2
83,"Research & Development","Healthcare Representative",3,3,3,No,Travel_Rarely,3,2,3
84,"Research & Development",Manager,4,3,3,Yes,Travel_Rarely,4,3,3
85,"Research & Development","Manufacturing Director",2,2,2,No,Travel_Frequently,2,3,3
86,"Research & Development","Research Scientist",3,3,1,No,Travel_Rarely,2,3,3
88,"Research & Development","Research Scientist",1,3,1,No,Travel_Frequently,2,4,2
90,"Research & Development","Research Scientist",1,2,3,Yes,Travel_Rarely,4,1,2
91,Sales,"Sales Executive",2,2,3,No,Travel_Frequently,1,4,2
94,"Research & Development","Research Scientist",1,3,2,No,Travel_Rarely,3,4,3
95,"Research & Development","Research Scientist",1,3,2,No,Travel_Rarely,3,2,3
96,"Research & Development","Research Scientist",2,3,2,No,Travel_Rarely,2,2,3
97,"Research & Development","Laboratory Technician",1,4,4,No,Travel_Rarely,2,2,3
98,"Research & Development","Manufacturing Director",2,3,4,No,Travel_Rarely,3,4,3
100,Sales,"Sales Executive",2,2,1,No,Travel_Rarely,3,2,3
101,"Research & Development","Research Director",3,3,1,Yes,Travel_Rarely,4,2,4
102,"Research & Development","Research Director",3,3,3,No,Travel_Rarely,1,1,4
103,"Human Resources","Human Resources",2,3,2,Yes,Travel_Rarely,2,4,3
104,"Research & Development","Laboratory Technician",2,2,4,Yes,Travel_Rarely,4,3,2
105,"Research & Development","Research Scientist",1,2,3,No,Travel_Rarely,2,1,3
106,Sales,"Sales Executive",3,3,4,No,Travel_Rarely,1,4,3
107,"Research & Development","Research Scientist",2,1,4,Yes,Non-Travel,2,4,3
110,"Research & Development","Manufacturing Director",2,3,2,No,Travel_Rarely,1,3,3
112,"Research & Development","Manufacturing Director",3,1,4,No,Travel_Rarely,4,1,2
113,Sales,"Sales Representative",1,3,1,No,Travel_Rarely,3,3,3
116,"Research & Development","Laboratory Technician",1,3,4,No,Travel_Rarely,4,2,3
117,"Research & Development","Healthcare Representative",2,2,4,No,Travel_Rarely,3,1,3
118,Sales,"Sales Executive",3,2,4,No,Travel_Rarely,3,4,3
119,"Research & Development","Healthcare Representative",4,2,2,No,Travel_Frequently,3,4,2
120,Sales,"Sales Executive",2,3,4,Yes,Travel_Rarely,3,4,1
121,Sales,"Sales Executive",2,2,2,Yes,Travel_Rarely,3,2,2
124,"Research & Development","Healthcare Representative",3,2,1,Yes,Travel_Frequently,3,3,2
125,Sales,"Sales Executive",2,3,3,No,Travel_Rarely,2,1,3
126,"Research & Development","Research Director",3,3,3,No,Travel_Rarely,1,1,1
128,Sales,"Sales Executive",2,3,3,No,Travel_Rarely,1,1,2
129,Sales,"Sales Executive",2,3,3,No,Non-Travel,2,2,4
131,Sales,"Sales Executive",4,3,3,No,Travel_Rarely,4,3,2
132,"Research & Development","Laboratory Technician",2,3,2,No,Non-Travel,2,3,4
133,"Human Resources","Human Resources",1,3,1,Yes,Travel_Rarely,3,4,3
134,"Research & Development","Research Scientist",1,3,1,No,Travel_Rarely,4,4,3
137,"Research & Development","Laboratory Technician",1,2,4,Yes,Travel_Frequently,4,2,3
138,"Research & Development","Research Scientist",2,3,3,No,Travel_Rarely,1,3,3
139,"Research & Development","Healthcare Representative",2,2,4,No,Non-Travel,3,4,4
140,"Human Resources",Manager,5,2,4,No,Non-Travel,3,4,3
141,"Research & Development","Research Director",5,3,2,Yes,Travel_Frequently,1,1,2
142,Sales,"Sales Executive",2,2,3,Yes,Travel_Rarely,3,4,3
143,"Research & Development","Research Scientist",1,2,4,No,Travel_Rarely,4,3,3
144,"Research & Development","Laboratory Technician",1,3,4,No,Travel_Rarely,2,3,3
145,"Research & Development","Healthcare Representative",3,2,1,No,Travel_Frequently,1,3,2
147,"Research & Development","Laboratory Technician",2,1,3,Yes,Travel_Frequently,1,4,3
148,"Human Resources",Manager,4,4,4,Yes,Non-Travel,4,3,3
150,"Research & Development","Laboratory Technician",1,3,3,No,Travel_Rarely,2,3,3
151,"Research & Development","Research Scientist",2,2,2,No,Travel_Rarely,3,3,3
152,Sales,"Sales Executive",3,3,4,No,Travel_Rarely,3,1,3
153,"Research & Development",Manager,3,2,1,No,Travel_Rarely,3,4,3
154,Sales,"Sales Executive",3,3,4,No,Travel_Frequently,2,3,3
155,"Research & Development","Laboratory Technician",1,3,4,No,Travel_Rarely,1,1,3
158,Sales,Manager,4,3,4,Yes,Travel_Frequently,3,4,4
159,"Research & Development","Research Scientist",1,1,3,No,Travel_Frequently,1,3,2
160,Sales,"Sales Executive",2,3,2,No,Non-Travel,3,1,4
161,"Research & Development","Research Scientist",1,3,2,Yes,Travel_Rarely,2,1,3
162,"Research & Development","Research Director",5,3,3,No,Travel_Rarely,1,3,3
163,Sales,"Sales Executive",2,1,3,Yes,Travel_Rarely,2,2,2
164,"Research & Development","Research Scientist",1,2,2,No,Travel_Rarely,3,3,2
165,"Research & Development","Healthcare Representative",3,3,4,No,Travel_Rarely,4,4,2
167,Sales,"Sales Representative",1,3,3,Yes,Travel_Rarely,4,4,2
169,"Research & Development","Laboratory Technician",1,3,4,No,Travel_Rarely,3,3,3
170,"Research & Development","Manufacturing Director",2,3,1,No,Travel_Rarely,3,3,2
171,"Research & Development","Research Scientist",1,4,3,No,Travel_Frequently,2,4,3
174,Sales,"Sales Executive",3,3,4,No,Travel_Frequently,3,4,3
175,Sales,"Sales Executive",2,1,3,Yes,Travel_Rarely,2,3,3
176,Sales,"Sales Executive",3,3,3,Yes,Travel_Rarely,3,3,3
177,"Human Resources","Human Resources",1,3,3,No,Travel_Rarely,3,4,3
178,"Research & Development","Manufacturing Director",2,3,2,No,Travel_Rarely,2,4,3
179,"Research & Development","Manufacturing Director",3,1,4,No,Travel_Frequently,1,4,3
182,Sales,"Sales Executive",2,2,3,No,Travel_Rarely,4,3,4
183,Sales,"Sales Executive",2,2,3,No,Travel_Rarely,1,4,3
184,"Human Resources","Human Resources",2,3,4,Yes,Travel_Rarely,3,4,1
190,"Research & Development","Laboratory Technician",1,3,1,No,Travel_Rarely,1,1,4
192,"Research & Development","Research Scientist",1,3,4,No,Travel_Rarely,3,2,2
193,"Research & Development","Research Scientist",2,3,3,Yes,Travel_Rarely,4,2,3
194,"Research & Development","Research Scientist",1,3,3,No,Travel_Rarely,1,3,2
195,Sales,"Sales Executive",2,1,4,No,Travel_Frequently,4,4,4
197,"Research & Development","Research Scientist",1,3,1,No,Travel_Rarely,4,4,3
198,"Research & Development","Laboratory Technician",1,2,4,No,Travel_Rarely,2,4,3
199,"Research & Development",Manager,4,2,1,No,Travel_Frequently,4,2,2
200,"Research & Development","Laboratory Technician",1,3,1,No,Travel_Rarely,3,4,3
201,"Research & Development","Laboratory Technician",1,3,2,No,Travel_Rarely,2,4,3
202,"Research & Development","Research Scientist",2,3,2,No,Travel_Frequently,2,1,3
204,Sales,"Sales Executive",3,3,2,No,Travel_Rarely,3,1,3
205,Sales,"Sales Representative",2,3,3,Yes,Travel_Rarely,2,4,1
206,"Research & Development","Laboratory Technician",2,3,2,No,Travel_Rarely,2,3,1
207,Sales,"Sales Executive",3,3,4,No,Travel_Frequently,2,4,3
208,"Research & Development","Manufacturing Director",2,3,3,No,Non-Travel,4,1,3
211,"Research & Development","Manufacturing Director",2,2,3,No,Travel_Rarely,2,3,3
214,"Research & Development","Research Scientist",1,2,2,Yes,Travel_Rarely,2,2,2
215,Sales,"Sales Executive",3,2,4,No,Travel_Rarely,3,1,2
216,Sales,"Sales Representative",1,3,3,No,Travel_Frequently,3,4,3
217,"Research & Development","Research Scientist",1,3,4,No,Travel_Rarely,3,1,3
218,"Research & Development","Research Scientist",1,3,2,No,Non-Travel,4,4,1
221,"Research & Development","Research Scientist",1,3,4,No,Travel_Rarely,3,3,1
223,"Research & Development","Healthcare Representative",3,4,4,Yes,Travel_Rarely,3,2,1
224,"Research & Development","Research Scientist",1,2,3,Yes,Non-Travel,3,4,2
226,"Research & Development",Manager,5,3,2,No,Travel_Rarely,3,2,3
227,"Research & Development","Research Scientist",1,3,3,No,Travel_Rarely,1,1,3
228,Sales,"Sales Executive",3,3,4,No,Travel_Rarely,2,3,3
230,Sales,"Sales Executive",2,2,4,No,Travel_Rarely,1,3,4
231,"Research & Development","Research Scientist",1,3,3,No,Travel_Rarely,3,1,3
233,"Research & Development","Research Scientist",1,3,2,Yes,Travel_Rarely,3,4,2
235,Sales,"Sales Representative",1,1,1,No,Travel_Frequently,3,1,4
238,"Research & Development","Laboratory Technician",1,3,2,No,Travel_Frequently,4,3,2
239,"Research & Development","Laboratory Technician",2,3,1,No,Non-Travel,3,3,3
240,Sales,"Sales Executive",2,3,1,Yes,Travel_Rarely,3,1,4
241,"Research & Development","Research Scientist",1,3,1,Yes,Travel_Rarely,3,3,3
242,"Research & Development","Research Scientist",1,3,4,No,Travel_Rarely,3,1,4
243,"Research & Development","Laboratory Technician",1,2,4,No,Travel_Rarely,2,3,2
244,Sales,"Sales Executive",3,3,1,No,Travel_Rarely,2,3,3
245,"Research & Development","Laboratory Technician",1,3,4,No,Travel_Rarely,3,3,3
246,"Research & Development","Research Scientist",1,3,4,Yes,Travel_Rarely,3,3,3
247,"Research & Development","Research Scientist",1,3,2,No,Travel_Rarely,4,4,3
248,Sales,"Sales Representative",1,3,2,Yes,Travel_Rarely,2,4,2
249,"Research & Development","Laboratory Technician",1,2,3,No,Travel_Rarely,3,4,2
250,"Research & Development","Manufacturing Director",2,4,1,No,Travel_Rarely,4,3,3
252,"Research & Development","Research Scientist",1,3,2,No,Travel_Rarely,4,4,3
253,"Research & Development",Manager,5,3,3,No,Travel_Rarely,4,2,3
254,"Research & Development","Research Director",5,4,2,No,Travel_Rarely,3,4,3
256,"Research & Development","Manufacturing Director",2,2,3,No,Travel_Frequently,4,3,2
258,"Research & Development","Healthcare Representative",4,3,2,No,Travel_Rarely,4,3,3
259,"Research & Development",Manager,5,2,3,No,Travel_Rarely,3,1,3
260,"Research & Development","Research Scientist",1,3,2,No,Travel_Rarely,4,4,2
261,"Research & Development","Manufacturing Director",2,2,3,Yes,Travel_Rarely,2,1,3
262,"Research & Development","Research Scientist",1,4,4,No,Non-Travel,4,4,4
264,"Research & Development",Manager,4,2,4,No,Non-Travel,1,4,3
267,"Research & Development","Research Scientist",1,4,1,Yes,Travel_Rarely,2,1,2
269,"Research & Development","Laboratory Technician",2,3,2,No,Travel_Frequently,2,4,3
270,"Research & Development","Manufacturing Director",2,3,3,No,Non-Travel,3,2,3
271,"Research & Development","Manufacturing Director",2,3,3,No,Travel_Rarely,4,2,3
273,"Research & Development","Manufacturing Director",2,3,4,No,Travel_Rarely,4,1,1
274,"Research & Development","Manufacturing Director",2,2,1,No,Travel_Frequently,3,3,3
275,"Research & Development","Manufacturing Director",2,3,4,Yes,Non-Travel,4,1,3
277,"Research & Development","Research Scientist",1,3,3,Yes,Travel_Frequently,4,4,4
281,"Research & Development","Laboratory Technician",2,3,4,Yes,Travel_Rarely,3,3,4
282,"Research & Development","Healthcare Representative",2,3,1,Yes,Travel_Rarely,2,2,3
283,Sales,"Sales Executive",3,3,4,No,Travel_Rarely,2,4,2
284,"Research & Development","Research Scientist",1,4,2,Yes,Travel_Rarely,4,1,2
286,"Research & Development","Laboratory Technician",1,3,4,No,Travel_Frequently,2,1,3
287,"Research & Development","Healthcare Representative",2,2,4,No,Non-Travel,4,4,1
288,"Research & Development","Healthcare Representative",3,3,1,No,Travel_Rarely,4,3,3
291,Sales,"Sales Executive",3,1,4,No,Travel_Rarely,4,3,2
292,"Research & Development","Manufacturing Director",3,2,3,No,Non-Travel,3,3,3
293,Sales,"Sales Executive",2,3,3,No,Travel_Frequently,4,4,3
296,"Research & Development","Research Director",3,2,2,No,Travel_Rarely,2,4,1
297,"Research & Development","Research Scientist",1,3,1,Yes,Travel_Rarely,4,3,3
298,Sales,Manager,3,3,4,Yes,Travel_Rarely,4,3,3
299,Sales,"Sales Executive",2,2,1,No,Travel_Frequently,3,3,2
300,"Research & Development","Research Scientist",1,3,3,No,Travel_Rarely,3,4,2
302,Sales,"Sales Executive",3,2,4,No,Non-Travel,4,4,3
303,Sales,"Sales Executive",2,3,1,No,Travel_Rarely,4,4,3
304,"Research & Development","Laboratory Technician",2,3,2,No,Travel_Rarely,4,4,4
305,"Research & Development","Research Scientist",1,2,2,No,Travel_Rarely,3,4,3
306,"Research & Development","Research Director",3,3,4,Yes,Travel_Frequently,2,3,3
307,Sales,"Sales Executive",3,3,3,No,Travel_Rarely,1,3,2
308,"Research & Development","Manufacturing Director",2,1,3,No,Non-Travel,3,4,3
309,"Research & Development","Research Scientist",1,2,4,No,Travel_Rarely,3,1,3
311,Sales,"Sales Representative",1,3,4,No,Travel_Frequently,1,3,3
312,Sales,"Sales Executive",3,3,4,No,Travel_Frequently,2,4,3
314,Sales,"Sales Executive",3,3,3,No,Travel_Frequently,3,1,4
315,"Research & Development","Research Scientist",1,2,4,Yes,Travel_Rarely,3,3,2
316,"Research & Development","Laboratory Technician",1,2,4,No,Travel_Rarely,3,2,2
319,"Research & Development",Manager,5,3,4,No,Travel_Rarely,3,4,3
321,"Human Resources","Human Resources",1,3,3,No,Travel_Rarely,2,4,2
323,Sales,Manager,5,3,4,No,Travel_Rarely,4,3,2
325,"Research & Development","Laboratory Technician",1,3,4,Yes,Travel_Rarely,3,3,1
327,Sales,Manager,4,3,4,Yes,Travel_Rarely,4,3,3
328,"Research & Development","Laboratory Technician",1,3,1,No,Travel_Rarely,1,1,4
329,Sales,Manager,5,2,3,Yes,Non-Travel,1,4,4
330,Sales,"Sales Representative",1,3,2,No,Travel_Rarely,3,1,3
331,"Research & Development","Laboratory Technician",1,2,3,Yes,Travel_Rarely,4,4,1
332,"Research & Development","Laboratory Technician",1,3,3,No,Travel_Rarely,3,3,3
333,Sales,"Sales Executive",2,3,4,No,Non-Travel,3,1,3
334,"Research & Development","Research Scientist",2,3,1,No,Travel_Rarely,3,1,2
335,"Research & Development","Research Scientist",2,3,4,No,Travel_Rarely,1,1,3
336,"Research & Development",Manager,5,4,4,No,Travel_Rarely,3,3,3
337,"Research & Development","Research Director",3,3,3,No,Travel_Frequently,2,1,3
338,"Research & Development","Research Scientist",1,2,4,No,Travel_Rarely,3,3,2
339,"Research & Development","Manufacturing Director",2,2,1,No,Travel_Rarely,4,2,3
340,"Research & Development","Research Scientist",1,2,1,No,Travel_Rarely,3,1,2
341,"Research & Development","Manufacturing Director",2,4,3,No,Travel_Frequently,1,4,3
342,"Research & Development","Manufacturing Director",3,3,3,No,Travel_Frequently,1,2,3
343,"Research & Development","Healthcare Representative",3,3,3,No,Travel_Frequently,3,4,3
346,"Research & Development","Research Scientist",1,3,4,No,Travel_Rarely,3,1,3
347,"Research & Development","Research Scientist",2,4,1,Yes,Travel_Rarely,4,3,3
349,Sales,"Sales Executive",2,3,4,No,Travel_Rarely,4,4,3
350,"Research & Development","Manufacturing Director",2,3,3,No,Travel_Rarely,1,4,3
351,"Research & Development","Laboratory Technician",1,2,1,Yes,Travel_Rarely,4,3,3
352,"Research & Development","Research Director",5,3,3,No,Travel_Rarely,1,4,3
353,"Research & Development","Research Scientist",1,3,4,No,Travel_Rarely,3,2,2
355,"Research & Development","Laboratory Technician",1,2,2,No,Travel_Frequently,3,2,4
359,"Research & Development","Laboratory Technician",1,4,2,No,Travel_Frequently,2,3,1
361,Sales,"Sales Executive",2,2,4,No,Non-Travel,4,4,3
362,"Research & Development","Laboratory Technician",2,2,1,No,Travel_Rarely,4,4,3
363,Sales,Manager,4,1,2,Yes,Travel_Rarely,3,2,2
364,"Research & Development","Laboratory Technician",1,3,3,No,Travel_Rarely,1,3,1
366,Sales,"Sales Executive",2,2,2,No,Travel_Rarely,1,2,3
367,"Research & Development","Healthcare Representative",2,2,4,No,Travel_Rarely,2,2,3
369,"Research & Development","Healthcare Representative",2,4,1,No,Non-Travel,2,4,3
372,"Research & Development","Healthcare Representative",4,3,4,Yes,Travel_Rarely,3,2,3
373,"Research & Development","Laboratory Technician",1,3,4,No,Travel_Rarely,4,3,3
374,"Research & Development",Manager,5,3,1,Yes,Travel_Rarely,4,3,3
376,"Research & Development",Manager,3,3,2,Yes,Non-Travel,1,4,2
377,"Research & Development","Research Scientist",1,3,4,No,Travel_Rarely,4,4,2
378,Sales,"Sales Executive",2,3,4,No,Travel_Rarely,3,2,4
379,"Research & Development","Research Scientist",1,2,3,No,Travel_Rarely,4,1,4
380,"Research & Development","Research Director",3,3,4,Yes,Non-Travel,1,1,3
381,"Research & Development",Manager,3,4,2,No,Travel_Rarely,2,2,2
382,Sales,"Sales Executive",2,4,1,Yes,Travel_Rarely,1,3,3
384,"Research & Development","Manufacturing Director",2,3,2,No,Travel_Frequently,3,1,1
385,"Research & Development","Research Director",5,3,2,No,Travel_Rarely,1,1,2
386,"Research & Development","Research Director",4,3,3,Yes,Travel_Rarely,3,4,2
387,Sales,"Sales Executive",2,3,3,No,Travel_Rarely,2,3,3
388,Sales,"Sales Executive",2,3,4,No,Travel_Frequently,2,1,2
389,"Research & Development","Laboratory Technician",2,3,4,Yes,Travel_Rarely,2,4,3
390,"Research & Development","Healthcare Representative",2,3,1,Yes,Travel_Frequently,1,3,3
391,"Research & Development","Research Scientist",1,3,4,No,Travel_Rarely,4,2,3
392,"Research & Development","Laboratory Technician",1,3,3,Yes,Travel_Frequently,4,4,1
393,"Research & Development","Healthcare Representative",2,3,4,No,Travel_Rarely,4,2,3
394,"Research & Development","Laboratory Technician",1,3,2,Yes,Travel_Rarely,1,4,3
395,"Research & Development","Research Scientist",1,3,4,No,Travel_Rarely,4,4,3
396,"Research & Development","Research Director",5,3,1,Yes,Travel_Frequently,3,4,3
397,"Research & Development","Research Scientist",2,3,2,No,Travel_Rarely,3,4,3
399,Sales,"Sales Representative",1,3,2,No,Travel_Frequently,4,3,2
401,Sales,"Sales Executive",2,2,4,Yes,Travel_Rarely,4,2,3
403,"Research & Development","Research Scientist",1,3,4,Yes,Travel_Frequently,2,3,2
404,Sales,"Sales Executive",4,3,2,No,Travel_Frequently,3,4,4
405,"Research & Development","Laboratory Technician",1,3,3,No,Travel_Rarely,3,3,3
406,Sales,"Sales Executive",3,3,2,No,Travel_Rarely,3,3,2
407,"Research & Development","Laboratory Technician",1,4,4,No,Travel_Frequently,3,4,3
408,"Research & Development","Manufacturing Director",2,1,2,No,Travel_Rarely,4,4,3
410,Sales,Manager,4,3,2,No,Travel_Rarely,4,2,3
411,Sales,"Sales Representative",1,2,3,No,Travel_Rarely,4,1,3
412,"Research & Development","Healthcare Representative",2,4,1,No,Travel_Rarely,2,3,3
416,Sales,"Sales Executive",2,4,4,No,Travel_Rarely,2,2,2
417,"Research & Development","Healthcare Representative",3,4,4,No,Travel_Rarely,3,1,2
419,"Research & Development","Laboratory Technician",2,3,2,No,Non-Travel,2,3,3
420,Sales,"Sales Executive",2,2,3,No,Travel_Rarely,4,3,2
421,"Research & Development","Research Director",3,2,2,No,Travel_Rarely,1,3,3
422,"Research & Development","Healthcare Representative",2,1,3,Yes,Non-Travel,4,4,3
423,"Research & Development","Research Scientist",1,3,4,Yes,Travel_Rarely,3,3,3
424,"Human Resources","Human Resources",2,2,1,No,Travel_Rarely,1,4,3
425,"Research & Development","Laboratory Technician",3,3,1,No,Travel_Frequently,1,1,3
426,"Research & Development","Research Scientist",1,3,4,Yes,Travel_Rarely,3,2,1
428,"Research & Development",Manager,3,3,2,No,Travel_Frequently,4,2,3
429,"Research & Development",Manager,4,3,1,Yes,Travel_Rarely,3,4,3
430,"Research & Development","Laboratory Technician",1,3,4,No,Travel_Frequently,3,1,3
431,"Research & Development","Healthcare Representative",4,2,3,Yes,Travel_Rarely,3,4,3
433,"Research & Development","Research Scientist",2,2,2,No,Travel_Rarely,3,1,2
434,"Research & Development","Research Scientist",1,3,2,Yes,Travel_Rarely,3,2,2
436,Sales,"Sales Executive",2,2,2,Yes,Travel_Rarely,3,4,3
437,Sales,"Sales Executive",2,3,3,Yes,Travel_Rarely,4,1,3
438,Sales,"Sales Executive",2,3,4,No,Travel_Rarely,4,4,3
439,"Research & Development","Research Scientist",2,4,4,No,Travel_Rarely,1,3,2
440,"Research & Development","Research Scientist",1,1,4,Yes,Travel_Rarely,1,4,2
441,"Research & Development","Research Scientist",2,3,4,No,Travel_Rarely,4,4,3
442,"Research & Development","Manufacturing Director",3,2,3,No,Travel_Frequently,3,1,3
444,"Research & Development",Manager,5,2,4,No,Travel_Frequently,3,1,3
445,Sales,"Sales Executive",2,3,3,Yes,Travel_Rarely,4,1,2
446,Sales,"Sales Executive",2,2,4,No,Travel_Frequently,2,3,2
447,"Research & Development","Research Director",5,3,3,No,Travel_Rarely,4,2,3
