EmployeeNumber,Department,JobRole,JobLevel,JobInvolvement,JobSatisfaction,OverTime,BusinessTravel,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance
448,"Research & Development","Laboratory Technician",2,2,3,No,Travel_Frequently,3,2,4
449,Sales,"Sales Executive",2,3,2,Yes,Non-Travel,3,4,3
450,"Research & Development","Research Scientist",2,3,3,No,Travel_Frequently,4,4,2
451,"Research & Development","Healthcare Representative",3,3,1,No,Travel_Rarely,3,1,2
452,"Research & Development","Research Scientist",2,3,4,No,Travel_Rarely,4,1,3
453,Sales,"Sales Executive",2,1,4,Yes,Travel_Rarely,2,3,2
454,"Research & Development","Laboratory Technician",1,1,1,Yes,Travel_Rarely,2,4,2
455,"Research & Development","Laboratory Technician",1,2,4,No,Travel_Rarely,2,3,3
456,Sales,"Sales Executive",2,2,3,No,Travel_Rarely,4,3,3
458,Sales,"Sales Executive",2,3,2,No,Travel_Rarely,2,1,3
460,"Research & Development","Manufacturing Director",2,3,4,No,Travel_Rarely,4,3,2
461,"Research & Development","Research Director",3,2,4,Yes,Travel_Rarely,3,2,3
462,"Research & Development","Manufacturing Director",3,3,4,Yes,Travel_Rarely,3,3,2
463,Sales,"Sales Executive",2,2,2,Yes,Travel_Rarely,4,1,3
464,"Research & Development","Manufacturing Director",3,3,2,No,Travel_Rarely,3,4,3
465,"Research & Development","Research Scientist",1,3,4,No,Travel_Rarely,3,3,2
466,"Research & Development","Manufacturing Director",2,2,2,Yes,Travel_Rarely,4,4,3
467,Sales,"Sales Representative",2,3,3,No,Travel_Frequently,2,1,3
468,"Research & Development","Research Director",4,3,4,No,Travel_Rarely,1,2,3
469,Sales,"Sales Executive",2,3,3,No,Non-Travel,4,1,2
470,"Human Resources","Human Resources",1,3,3,Yes,Travel_Rarely,3,3,3
471,"Research & Development","Laboratory Technician",1,3,2,No,Travel_Rarely,3,3,3
473,Sales,Manager,3,3,3,No,Travel_Rarely,1,2,1
474,"Research & Development","Research Scientist",2,4,1,Yes,Travel_Rarely,3,1,3
475,Sales,"Sales Executive",2,3,3,Yes,Non-Travel,4,2,4
476,Sales,"Sales Executive",2,3,3,No,Travel_Rarely,3,2,3
477,"Research & Development","Healthcare Representative",2,2,4,No,Travel_Rarely,1,2,3
478,Sales,"Sales Representative",1,2,2,Yes,Travel_Frequently,1,3,3
479,Sales,"Sales Executive",2,3,4,No,Non-Travel,4,2,3
481,Sales,"Sales Executive",3,2,4,No,Travel_Frequently,1,1,3
482,"Research & Development","Healthcare Representative",2,3,3,No,Travel_Rarely,4,3,3
483,"Research & Development","Laboratory Technician",1,4,3,Yes,Travel_Rarely,4,3,3
484,Sales,"Sales Representative",1,3,4,No,Non-Travel,1,3,2
485,Sales,"Sales Representative",1,3,3,Yes,Travel_Rarely,4,2,3
486,"Research & Development","Laboratory Technician",1,3,1,No,Travel_Rarely,3,2,3
487,"Research & Development","Manufacturing Director",2,3,3,No,Non-Travel,3,3,4
488,Sales,"Sales Executive",2,3,2,No,Travel_Frequently,1,3,3
491,"Research & Development","Healthcare Representative",3,2,4,No,Travel_Rarely,4,4,3
492,Sales,"Sales Executive",2,2,3,Yes,Travel_Rarely,3,1,3
493,"Research & Development","Research Scientist",1,2,2,Yes,Travel_Rarely,3,4,3
494,Sales,"Sales Representative",1,4,2,No,Travel_Rarely,3,4,3
495,"Research & Development","Research Scientist",1,3,4,No,Travel_Rarely,4,4,3
496,"Research & Development","Healthcare Representative",2,2,2,No,Travel_Rarely,3,3,3
497,"Research & Development","Laboratory Technician",1,3,2,No,Travel_Rarely,4,2,3
498,Sales,"Sales Executive",2,3,4,No,Travel_Rarely,2,4,3
499,"Research & Development","Healthcare Representative",3,2,3,No,Travel_Rarely,2,3,3
500,Sales,"Sales Executive",2,3,4,No,Travel_Rarely,3,3,2
501,"Research & Development","Research Scientist",1,3,3,No,Travel_Rarely,4,2,3
502,Sales,"Sales Executive",2,4,4,Yes,Non-Travel,1,2,2
505,"Research & Development",Manager,4,3,4,Yes,Travel_Rarely,3,3,3
507,Sales,"Sales Executive",2,3,3,Yes,Travel_Rarely,4,4,4
508,Sales,"Sales Representative",1,3,2,No,Travel_Rarely,3,1,3
510,"Research & Development","Research Scientist",1,3,1,No,Travel_Frequently,3,3,3
511,"Research & Development","Research Scientist",1,3,2,No,Travel_Rarely,1,4,3
513,Sales,"Sales Executive",3,2,3,No,Travel_Rarely,2,2,3
514,"Research & Development","Research Scientist",1,3,4,Yes,Travel_Frequently,3,3,3
515,"Research & Development","Laboratory Technician",1,3,1,No,Travel_Rarely,4,3,2
516,Sales,"Sales Executive",2,3,2,No,Travel_Rarely,4,3,3
517,"Research & Development","Laboratory Technician",1,3,1,No,Travel_Rarely,2,2,3
518,"Research & Development","Manufacturing Director",2,3,2,Yes,Travel_Rarely,3,4,2
520,"Research & Development","Research Director",4,2,2,No,Travel_Rarely,1,3,3
521,"Research & Development","Laboratory Technician",2,2,3,No,Travel_Rarely,2,2,3
522,"Research & Development","Research Director",5,3,1,No,Travel_Rarely,1,3,2
523,Sales,"Sales Executive",2,3,3,No,Non-Travel,3,1,3
524,"Research & Development","Manufacturing Director",2,3,1,No,Travel_Rarely,2,2,1
525,"Research & Development","Laboratory Technician",1,3,4,No,Travel_Frequently,4,1,3
526,"Research & Development","Healthcare Representative",2,3,3,Yes,Travel_Rarely,3,4,3
527,Sales,"Sales Executive",2,2,4,Yes,Travel_Rarely,2,2,3
529,"Research & Development","Research Scientist",2,3,3,Yes,Non-Travel,2,1,3
530,"Research & Development","Laboratory Technician",1,2,1,No,Travel_Rarely,4,3,3
531,"Research & Development",Manager,5,3,3,Yes,Travel_Frequently,2,3,3
532,Sales,"Sales Executive",4,4,1,No,Travel_Frequently,3,4,2
533,Sales,"Sales Executive",2,3,3,No,Travel_Rarely,2,2,3
534,Sales,"Sales Executive",3,4,1,No,Travel_Rarely,2,3,3
536,"Research & Development","Laboratory Technician",2,3,1,No,Travel_Rarely,3,4,3
538,"Research & Development","Laboratory Technician",1,3,1,No,Travel_Rarely,1,3,3
543,"Research & Development","Manufacturing Director",3,2,3,Yes,Travel_Rarely,4,3,3
544,"Research & Development","Research Scientist",1,3,4,No,Travel_Rarely,1,4,2
546,"Research & Development",Manager,4,3,4,No,Travel_Rarely,4,4,1
547,"Research & Development","Research Scientist",2,3,3,No,Travel_Frequently,1,2,3
548,"Research & Development","Manufacturing Director",2,1,4,No,Travel_Rarely,3,3,3
549,"Research & Development",Manager,5,3,1,No,Travel_Rarely,1,4,1
550,"Research & Development","Manufacturing Director",2,3,3,No,Travel_Rarely,3,3,2
551,"Research & Development","Healthcare Representative",2,2,4,No,Travel_Frequently,4,4,4
554,Sales,"Sales Representative",1,3,2,Yes,Travel_Rarely,1,2,3
555,Sales,"Sales Representative",1,1,3,No,Travel_Frequently,4,4,2
556,"Research & Development","Laboratory Technician",1,3,4,Yes,Travel_Frequently,4,3,3
558,Sales,Manager,5,3,3,No,Travel_Rarely,3,4,3
560,"Research & Development","Research Scientist",1,3,4,No,Travel_Rarely,1,2,1
562,"Research & Development","Laboratory Technician",1,3,4,No,Non-Travel,3,3,1
564,"Research & Development","Research Director",3,2,3,No,Travel_Rarely,2,3,3
565,"Research & Development","Research Scientist",1,2,2,No,Travel_Rarely,3,2,4
566,"Human Resources","Human Resources",1,2,4,No,Travel_Rarely,1,3,4
567,Sales,"Sales Executive",3,3,1,No,Non-Travel,3,3,3
568,Sales,Manager,4,2,4,No,Travel_Rarely,1,3,2
569,"Research & Development",Manager,4,2,3,No,Travel_Rarely,2,2,3
571,"Research & Development","Laboratory Technician",1,3,4,No,Non-Travel,3,3,2
573,Sales,"Sales Executive",3,2,1,No,Travel_Frequently,3,4,4
574,"Research & Development","Manufacturing Director",2,3,4,No,Travel_Rarely,1,3,3
575,"Research & Development","Research Director",4,3,3,No,Travel_Rarely,1,3,1
577,"Research & Development","Laboratory Technician",1,1,3,No,Travel_Rarely,4,3,3
578,"Research & Development","Laboratory Technician",2,3,3,No,Travel_Rarely,3,3,3
579,"Research & Development","Research Scientist",1,2,3,No,Travel_Rarely,4,3,3
580,Sales,"Sales Executive",3,2,4,Yes,Travel_Rarely,3,3,3
581,"Research & Development","Manufacturing Director",3,3,2,No,Travel_Rarely,3,4,4
582,"Research & Development",Manager,3,3,3,Yes,Travel_Rarely,2,4,4
584,"Research & Development","Laboratory Technician",1,1,4,No,Travel_Rarely,1,1,3
585,Sales,"Sales Representative",1,3,2,No,Travel_Rarely,4,1,3
586,"Research & Development","Healthcare Representative",3,3,3,Yes,Travel_Rarely,4,3,3
587,"Research & Development","Healthcare Representative",3,3,3,No,Travel_Frequently,1,1,3
590,"Human Resources","Human Resources",3,3,1,Yes,Travel_Frequently,2,3,3
591,"Research & Development","Laboratory Technician",1,3,3,No,Travel_Frequently,2,4,3
592,Sales,"Sales Executive",3,3,4,No,Non-Travel,2,4,2
593,"Research & Development","Laboratory Technician",1,2,3,No,Travel_Frequently,3,3,3
595,Sales,"Sales Executive",2,3,4,No,Travel_Rarely,2,1,3
597,Sales,Manager,4,3,2,No,Travel_Rarely,1,4,3
599,Sales,"Sales Executive",2,3,4,No,Non-Travel,4,4,3
600,Sales,"Sales Executive",2,3,3,No,Travel_Rarely,2,3,3
601,"Research & Development","Manufacturing Director",4,3,3,No,Travel_Rarely,2,3,3
602,"Research & Development","Laboratory Technician",1,3,3,No,Travel_Frequently,3,1,3
604,Sales,"Sales Executive",2,3,4,Yes,Travel_Rarely,2,3,4
605,"Research & Development","Manufacturing Director",3,3,1,Yes,Travel_Rarely,4,4,2
606,Sales,"Sales Executive",2,3,2,No,Travel_Rarely,4,2,4
608,"Human Resources","Human Resources",1,3,3,Yes,Travel_Frequently,2,2,2
611,"Research & Development","Manufacturing Director",2,3,4,No,Travel_Rarely,4,2,4
612,"Research & Development","Research Director",4,4,3,No,Travel_Rarely,1,3,3
613,Sales,Manager,3,2,4,No,Travel_Rarely,3,3,2
614,Sales,"Sales Representative",1,3,2,Yes,Travel_Frequently,2,4,3
615,Sales,"Sales Executive",3,1,1,No,Non-Travel,3,3,3
616,"Research & Development","Healthcare Representative",2,2,3,Yes,Non-Travel,1,1,3
618,Sales,"Sales Executive",2,3,3,No,Travel_Rarely,1,1,3
620,Sales,"Sales Executive",2,3,3,No,Travel_Rarely,1,4,3
621,Sales,"Sales Executive",2,4,4,No,Travel_Rarely,4,4,3
622,"Research & Development","Laboratory Technician",1,1,4,Yes,Travel_Rarely,3,2,1
623,"Research & Development","Manufacturing Director",3,3,4,No,Travel_Rarely,2,4,4
624,"Research & Development","Healthcare Representative",3,3,3,No,Travel_Frequently,1,4,2
625,Sales,Manager,4,3,1,No,Travel_Rarely,2,2,3
626,Sales,"Sales Executive",3,3,2,No,Non-Travel,1,4,3
630,"Research & Development","Research Scientist",2,3,1,Yes,Travel_Rarely,4,2,3
631,Sales,"Sales Executive",2,4,3,No,Non-Travel,4,4,3
632,Sales,"Sales Representative",1,3,4,No,Travel_Frequently,4,3,3
634,"Research & Development","Healthcare Representative",2,3,3,No,Travel_Rarely,3,3,3
635,"Research & Development","Manufacturing Director",2,3,2,No,Travel_Rarely,2,2,2
638,"Research & Development","Research Director",5,2,3,Yes,Travel_Rarely,4,3,3
639,"Research & Development","Research Scientist",1,4,4,Yes,Travel_Rarely,2,2,3
641,Sales,"Sales Executive",2,3,2,No,Travel_Rarely,1,4,4
643,"Research & Development","Laboratory Technician",1,2,2,No,Travel_Rarely,4,4,3
644,"Human Resources",Manager,5,3,2,No,Travel_Frequently,1,3,3
645,Sales,"Sales Representative",1,3,3,No,Travel_Rarely,2,3,3
647,"Research & Development","Laboratory Technician",1,3,3,Yes,Travel_Frequently,1,4,3
648,Sales,"Sales Representative",1,2,1,No,Travel_Frequently,2,3,4
649,"Research & Development","Research Scientist",1,2,4,Yes,Travel_Rarely,2,4,3
650,Sales,"Sales Executive",2,3,1,No,Travel_Rarely,2,3,1
652,"Research & Development","Laboratory Technician",2,2,4,No,Travel_Rarely,1,4,3
653,Sales,"Sales Executive",2,4,4,No,Travel_Rarely,1,4,4
655,"Research & Development","Research Scientist",1,2,3,No,Travel_Rarely,1,3,2
656,Sales,"Sales Executive",2,3,3,Yes,Travel_Rarely,4,3,2
657,"Research & Development","Research Scientist",1,2,2,No,Travel_Rarely,4,4,4
659,"Research & Development","Healthcare Representative",2,3,4,No,Travel_Rarely,3,2,3
661,"Research & Development","Research Director",4,2,4,Yes,Travel_Rarely,2,3,2
662,"Research & Development","Research Scientist",1,3,1,No,Travel_Rarely,3,4,2
663,"Research & Development","Laboratory Technician",2,3,3,Yes,Travel_Frequently,4,2,3
664,"Research & Development",Manager,4,2,1,No,Travel_Rarely,4,1,1
665,"Human Resources","Human Resources",2,2,3,No,Travel_Rarely,1,2,4
666,Sales,"Sales Representative",1,3,3,Yes,Travel_Rarely,3,4,3
667,Sales,"Sales Representative",1,3,1,No,Travel_Rarely,3,2,3
669,Sales,"Sales Representative",1,3,3,No,Travel_Rarely,3,3,3
671,"Research & Development",Manager,5,3,4,Yes,Travel_Rarely,4,1,4
675,"Research & Development","Research Scientist",1,3,3,No,Travel_Rarely,1,4,3
677,Sales,"Sales Executive",2,3,3,No,Travel_Rarely,3,4,3
679,"Research & Development","Research Scientist",2,3,4,Yes,Travel_Rarely,1,4,2
680,"Research & Development","Research Scientist",1,3,3,No,Travel_Frequently,3,3,3
682,Sales,"Sales Executive",2,3,1,No,Travel_Rarely,4,4,4
683,"Research & Development","Research Scientist",1,3,4,No,Travel_Rarely,2,4,2
684,Sales,"Sales Executive",2,3,1,No,Travel_Frequently,1,4,3
686,"Research & Development","Laboratory Technician",1,3,4,Yes,Travel_Rarely,3,3,3
689,"Research & Development","Manufacturing Director",3,3,3,No,Travel_Rarely,3,3,3
690,Sales,"Sales Executive",2,3,3,No,Travel_Rarely,2,1,2
691,"Research & Development","Research Scientist",2,1,4,No,Travel_Rarely,2,2,3
692,"Research & Development","Healthcare Representative",2,3,4,No,Travel_Frequently,3,3,1
698,"Human Resources","Human Resources",3,3,2,No,Travel_Rarely,3,3,4
699,"Research & Development","Manufacturing Director",2,2,2,Yes,Travel_Rarely,2,3,3
700,"Research & Development","Research Scientist",1,2,4,No,Travel_Rarely,1,4,3
701,"Research & Development","Research Scientist",1,3,3,Yes,Travel_Rarely,4,4,3
702,"Research & Development","Research Scientist",1,3,1,Yes,Travel_Frequently,1,1,3
704,"Research & Development","Laboratory Technician",1,2,3,No,Non-Travel,3,3,3
705,"Research & Development","Research Scientist",1,4,1,No,Travel_Rarely,1,1,4
707,Sales,"Sales Executive",2,4,2,No,Travel_Rarely,4,3,3
709,Sales,"Sales Executive",2,2,4,No,Travel_Rarely,4,1,3
710,"Research & Development","Research Scientist",1,1,4,No,Travel_Frequently,2,4,3
712,Sales,"Sales Executive",2,4,2,No,Travel_Rarely,2,4,3
714,Sales,"Sales Executive",2,4,4,Yes,Travel_Frequently,4,2,3
715,"Research & Development","Research Scientist",1,4,4,No,Travel_Rarely,4,1,3
716,"Research & Development","Laboratory Technician",1,4,3,Yes,Travel_Rarely,4,3,3
717,"Research & Development","Healthcare Representative",3,2,2,No,Travel_Rarely,4,2,4
720,Sales,"Sales Executive",2,3,3,No,Travel_Rarely,1,1,3
721,"Research & Development","Healthcare Representative",2,2,3,No,Travel_Rarely,4,1,3
722,Sales,"Sales Executive",2,3,4,No,Travel_Rarely,4,4,2
723,Sales,"Sales Executive",2,3,3,Yes,Travel_Frequently,2,1,3
724,"Research & Development","Healthcare Representative",2,4,4,No,Travel_Rarely,2,3,2
725,"Research & Development","Manufacturing Director",3,3,1,No,Travel_Rarely,3,4,3
727,"Research & Development","Research Director",3,3,4,No,Travel_Rarely,3,4,3
728,Sales,"Sales Executive",2,3,1,No,Travel_Rarely,4,4,3
729,Sales,"Sales Executive",3,2,1,Yes,Travel_Frequently,4,3,3
730,"Research & Development","Research Director",4,4,3,No,Travel_Rarely,3,3,3
731,"Human Resources",Manager,5,2,4,No,Travel_Rarely,2,2,2
732,Sales,"Sales Executive",2,3,1,No,Travel_Rarely,1,4,3
733,"Research & Development","Manufacturing Director",3,3,1,No,Travel_Frequently,4,3,2
734,"Human Resources",Manager,5,2,3,No,Travel_Rarely,4,2,3
738,Sales,"Sales Representative",1,3,2,No,Travel_Rarely,4,4,3
741,"Research & Development","Research Scientist",1,1,2,Yes,Travel_Rarely,1,4,3
742,"Research & Development","Research Director",3,4,1,No,Non-Travel,1,1,3
743,"Research & Development","Manufacturing Director",3,3,3,Yes,Travel_Rarely,3,4,4
744,"Research & Development","Laboratory Technician",1,1,3,No,Non-Travel,1,3,3
746,Sales,"Sales Executive",4,3,3,Yes,Travel_Frequently,4,4,2
747,Sales,"Sales Executive",2,3,4,No,Travel_Rarely,3,4,2
749,Sales,"Sales Representative",1,3,3,No,Travel_Rarely,3,3,3
752,"Research & Development","Research Scientist",1,4,3,Yes,Travel_Frequently,3,4,3
754,Sales,"Sales Executive",2,2,4,No,Travel_Frequently,4,3,3
757,"Research & Development","Healthcare Representative",2,3,3,No,Travel_Rarely,2,4,3
758,"Research & Development","Laboratory Technician",1,3,1,No,Travel_Rarely,2,4,4
760,"Human Resources","Human Resources",2,4,2,No,Travel_Rarely,3,3,1
762,"Research & Development","Healthcare Representative",4,3,4,No,Travel_Rarely,3,3,2
763,"Research & Development","Research Scientist",1,2,4,Yes,Travel_Rarely,4,4,2
764,"Research & Development","Healthcare Representative",2,2,1,No,Travel_Rarely,4,1,1
766,Sales,"Sales Representative",1,3,2,No,Travel_Rarely,4,4,3
769,"Research & Development","Laboratory Technician",2,3,4,No,Travel_Rarely,4,4,3
771,"Research & Development","Healthcare Representative",2,3,1,No,Non-Travel,4,1,4
772,"Research & Development","Laboratory Technician",2,3,4,No,Travel_Frequently,1,4,3
773,"Research & Development","Research Scientist",1,3,3,Yes,Travel_Rarely,4,2,1
775,"Research & Development","Manufacturing Director",2,3,1,No,Travel_Rarely,2,3,3
776,Sales,Manager,4,2,1,No,Travel_Rarely,3,1,4
780,"Research & Development","Research Scientist",1,3,4,Yes,Travel_Rarely,4,3,2
781,Sales,"Sales Executive",2,3,4,No,Travel_Rarely,3,2,2
783,Sales,"Sales Representative",2,1,3,No,Travel_Rarely,2,1,3
784,"Research & Development","Research Scientist",1,4,3,No,Travel_Rarely,1,4,3
785,Sales,"Sales Executive",2,4,3,Yes,Travel_Frequently,2,4,3
786,Sales,"Sales Executive",2,3,4,No,Travel_Rarely,4,3,3
787,"Research & Development",Manager,5,3,1,Yes,Travel_Rarely,4,4,3
789,Sales,"Sales Executive",3,2,1,No,Non-Travel,1,2,3
791,"Research & Development","Research Scientist",1,3,4,No,Non-Travel,4,1,3
792,"Research & Development","Laboratory Technician",1,1,4,No,Travel_Frequently,1,1,3
793,"Research & Development","Healthcare Representative",2,3,3,No,Travel_Rarely,2,1,2
796,Sales,"Sales Executive",2,2,1,No,Travel_Rarely,4,3,2
797,"Research & Development","Research Scientist",1,4,4,No,Travel_Rarely,2,3,3
799,"Research & Development","Manufacturing Director",2,3,1,Yes,Travel_Rarely,4,2,3
800,Sales,"Sales Executive",2,3,4,No,Travel_Frequently,3,2,3
802,"Research & Development","Research Scientist",1,3,1,Yes,Travel_Rarely,4,2,2
803,"Research & Development","Manufacturing Director",2,4,1,Yes,Travel_Frequently,1,4,3
804,"Research & Development","Research Scientist",1,2,1,No,Travel_Rarely,3,3,3
805,Sales,"Sales Representative",1,3,4,No,Travel_Rarely,1,2,2
806,"Research & Development","Laboratory Technician",1,1,3,No,Travel_Rarely,4,3,3
807,"Research & Development","Healthcare Representative",2,4,2,No,Travel_Frequently,3,4,3
808,Sales,"Sales Executive",2,3,1,No,Travel_Rarely,3,2,3
809,"Research & Development",Manager,5,3,4,No,Travel_Frequently,2,2,2
811,"Research & Development","Laboratory Technician",1,4,1,Yes,Travel_Rarely,3,3,3
812,"Research & Development","Laboratory Technician",1,2,2,No,Non-Travel,3,3,3
813,"Research & Development","Laboratory Technician",2,3,3,No,Travel_Rarely,4,2,3
815,"Research & Development","Research Director",4,3,3,No,Travel_Rarely,3,4,3
816,"Research & Development","Laboratory Technician",1,2,1,Yes,Travel_Rarely,2,4,3
817,"Research & Development","Research Director",3,3,3,No,Travel_Rarely,3,4,4
819,Sales,"Sales Executive",2,3,1,No,Travel_Rarely,1,3,3
820,"Research & Development",Manager,4,3,4,Yes,Travel_Rarely,3,3,2
823,"Research & Development","Manufacturing Director",2,3,2,No,Travel_Rarely,3,1,3
824,"Research & Development","Research Scientist",1,4,3,No,Travel_Rarely,3,3,3
825,"Research & Development","Research Director",5,3,2,Yes,Travel_Rarely,4,4,3
826,"Research & Development","Research Scientist",1,4,3,No,Travel_Rarely,4,3,3
827,"Research & Development","Manufacturing Director",2,2,4,Yes,Travel_Rarely,4,4,3
828,"Research & Development","Research Scientist",1,3,3,No,Travel_Rarely,3,4,2
829,"Human Resources","Human Resources",1,3,2,No,Travel_Rarely,3,2,3
830,"Research & Development","Manufacturing Director",2,2,3,No,Travel_Rarely,3,3,3
832,"Research & Development","Laboratory Technician",2,2,3,No,Travel_Frequently,1,4,3
833,"Research & Development","Manufacturing Director",2,2,4,Yes,Travel_Rarely,3,2,2
834,"Research & Development","Research Scientist",1,2,3,No,Travel_Rarely,2,4,3
836,"Research & Development","Manufacturing Director",2,3,2,No,Travel_Rarely,2,4,2
837,"Research & Development","Healthcare Representative",2,2,1,No,Travel_Frequently,1,3,2
838,"Research & Development","Research Scientist",1,2,4,No,Travel_Frequently,3,3,3
840,Sales,"Sales Executive",3,3,4,No,Travel_Rarely,3,1,4
842,Sales,"Sales Executive",2,3,4,No,Travel_Rarely,3,3,2
843,"Research & Development","Research Director",4,3,1,No,Travel_Rarely,2,3,3
844,"Research & Development","Research Director",3,2,4,Yes,Travel_Rarely,3,2,3
845,"Research & Development","Manufacturing Director",3,3,3,No,Travel_Rarely,3,2,4
846,Sales,"Sales Executive",2,3,2,Yes,Travel_Rarely,2,1,3
847,"Human Resources","Human Resources",1,3,4,No,Travel_Rarely,3,3,1
848,"Research & Development","Research Scientist",1,2,3,Yes,Travel_Frequently,3,1,3
850,"Research & Development","Research Scientist",1,3,4,No,Non-Travel,4,3,2
851,Sales,Manager,4,3,3,No,Travel_Rarely,1,3,2
852,"Research & Development","Healthcare Representative",2,3,2,No,Travel_Rarely,4,4,2
854,"Research & Development","Research Scientist",1,4,1,No,Travel_Rarely,1,3,2
855,Sales,"Sales Executive",2,4,1,No,Travel_Rarely,1,1,3
856,"Research & Development","Research Scientist",1,2,1,No,Travel_Rarely,3,4,2
857,Sales,"Sales Executive",2,3,4,Yes,Travel_Rarely,2,4,2
859,Sales,"Sales Executive",2,3,4,No,Travel_Rarely,2,3,2
861,"Research & Development","Research Scientist",1,2,4,No,Travel_Frequently,2,2,2
862,Sales,"Sales Executive",3,2,4,Yes,Travel_Rarely,1,4,3
864,Sales,"Sales Executive",3,3,1,Yes,Travel_Rarely,4,3,3
865,"Research & Development","Research Scientist",2,4,3,No,Travel_Rarely,3,3,2
867,"Research & Development","Manufacturing Director",4,2,4,No,Travel_Frequently,3,3,3
868,Sales,"Sales Executive",2,2,3,No,Travel_Rarely,4,4,3
869,"Human Resources","Human Resources",1,2,4,No,Travel_Rarely,2,4,3
872,"Research & Development","Manufacturing Director",2,2,4,No,Travel_Rarely,4,1,1
874,"Research & Development","Laboratory Technician",1,4,4,Yes,Travel_Rarely,1,3,2
875,"Research & Development","Research Scientist",1,3,4,Yes,Travel_Frequently,2,4,3
878,"Human Resources","Human Resources",1,2,1,No,Travel_Rarely,1,3,3
879,Sales,"Sales Executive",2,3,1,Yes,Travel_Rarely,3,4,3
880,"Research & Development","Manufacturing Director",3,2,3,Yes,Travel_Rarely,4,2,3
881,"Research & Development","Research Scientist",1,3,2,Yes,Travel_Frequently,4,1,2
882,"Research & Development","Laboratory Technician",1,3,4,No,Non-Travel,4,2,3
885,Sales,"Sales Executive",2,2,1,No,Travel_Rarely,3,1,4
887,"Research & Development","Research Scientist",1,3,1,No,Travel_Rarely,3,2,3
888,"Research & Development","Laboratory Technician",1,2,4,No,Non-Travel,1,4,2
889,Sales,"Sales Executive",2,3,2,No,Travel_Frequently,2,4,3
893,Sales,"Sales Representative",1,2,2,No,Travel_Rarely,2,4,3
894,"Research & Development","Laboratory Technician",2,4,4,Yes,Travel_Rarely,3,2,2
895,"Research & Development","Research Scientist",1,3,4,Yes,Travel_Rarely,4,2,3
896,Sales,"Sales Representative",1,2,3,Yes,Travel_Rarely,2,3,3
897,Sales,"Sales Executive",4,3,4,No,Travel_Rarely,1,3,3
899,"Research & Development","Manufacturing Director",3,2,2,No,Travel_Rarely,4,1,3
900,Sales,"Sales Representative",1,3,4,No,Travel_Frequently,3,2,3
901,"Research & Development","Research Director",4,3,4,No,Travel_Rarely,4,3,3
902,"Research & Development","Healthcare Representative",2,3,4,No,Travel_Frequently,4,2,2
903,Sales,"Sales Executive",2,3,4,Yes,Travel_Rarely,3,1,3
904,Sales,"Sales Executive",3,3,2,Yes,Non-Travel,1,4,3
905,"Research & Development",Manager,4,3,1,No,Non-Travel,1,4,3
909,"Human Resources","Human Resources",2,2,4,No,Travel_Rarely,4,3,3
910,"Human Resources","Human Resources",1,3,2,Yes,Travel_Rarely,4,3,4
911,"Research & Development","Laboratory Technician",1,3,4,Yes,Travel_Rarely,1,3,1
912,"Research & Development","Laboratory Technician",1,2,4,No,Travel_Rarely,1,3,3
913,"Research & Development","Research Scientist",1,3,1,Yes,Travel_Rarely,2,4,3
916,Sales,"Sales Executive",2,3,4,No,Travel_Rarely,1,2,3
918,"Research & Development","Laboratory Technician",1,2,4,Yes,Travel_Frequently,4,4,2
920,"Research & Development","Manufacturing Director",2,3,2,No,Travel_Rarely,1,3,4
922,Sales,"Sales Representative",1,2,3,No,Travel_Rarely,3,4,2
923,"Research & Development","Research Scientist",1,3,4,No,Travel_Rarely,4,1,2
924,"Research & Development","Healthcare Representative",2,3,4,Yes,Travel_Rarely,3,1,2
925,Sales,"Sales Representative",1,2,4,Yes,Travel_Rarely,4,1,2
926,"Research & Development","Manufacturing Director",2,3,3,Yes,Travel_Rarely,2,1,4
927,"Research & Development","Laboratory Technician",1,1,4,Yes,Travel_Rarely,2,3,2
930,"Research & Development","Research Scientist",1,3,3,No,Travel_Rarely,3,2,3
